,category,start,length
0,C,143,178.0
1,P,348,122.0
2,C,639,499.0
3,B,1613,419.0
4,P,1613,1444.0
5,B,3744,547.0
6,P,3744,26239.0
7,C,31952,1617.0
8,P,33642,26633.0
9,C,62621,234.0
10,P,62895,807.0
11,B,64215,412.0
12,P,64215,3203.0
13,C,67695,189.0
14,P,67932,16592.0
15,B,86593,366.0
16,P,86593,11271.0
17,B,99992,839.0
18,P,99992,16282.0
19,C,118225,328.0
20,P,118599,2744.0
21,B,122174,465.0
22,P,122174,17859.0
23,B,142539,699.0
24,P,142539,1661.0
25,C,144343,234.0
26,P,144630,3909.0
27,C,149072,165.0
28,P,149285,16135.0
29,C,167283,241.0
30,P,167561,4942.0
31,C,172895,153.0
32,P,173096,10830.0
33,B,185583,452.0
34,P,185583,1053.0
35,B,187690,907.0
36,P,187690,8000.0
37,B,198189,1447.0
38,P,198189,5878.0
39,C,204785,102.0
40,P,204990,4856.0
41,C,210585,126.0
42,P,210772,7573.0
43,B,220106,543.0
44,P,220106,1287.0
45,C,221522,225.0
46,P,221824,1592.0
47,B,224193,551.0
48,P,224193,642.0
49,B,226019,1119.0
50,P,226019,1225.0
51,B,227851,503.0
52,P,227851,973.0
53,B,229345,391.0
54,P,229345,3765.0
55,B,234787,1046.0
56,P,234787,9549.0
57,B,246319,840.0
58,P,246319,16799.0
59,B,266351,1004.0
60,P,266351,3578.0
