name	stds
q-118l	Plus: 20.18         Minus: -21.82
q-118n	Plus: 31.6         Minus: -10.4
q-118r	Plus: 32.9                Minus: -9.1
q-118rr	Plus: 14.4                Minus: -27.6
q-128n	Plus: 35.7                Minus: -6.3
q-128r	Plus: 32.03                Minus: -9.97
roxyn	Plus: 46.6                Minus: 4.6
roxyr	Plus: 46.6                Minus: 4.6
lum-lizarda	Plus: 34.17                Minus: -7.83
lum-lizardb	Plus: 31.14               Minus: -10.66
mx1n	Plus: 16.2               Minus: -25.8
mx1r	Plus: 16.14               Minus: -25.86
mx6l	Plus: 25.1               Minus: -16.9
mx6n	Plus: 31.52               Minus: -10.48
z6lms3	Plus: 25.12            Minus: -16.88
z6rl-lms1	Plus: 30.17            Minus: -11.83
q-125r	Plus: 29.1         Minus: -12.9
q-125rl	Plus: 29.1         Minus: -12.9
mx18n	Plus: 37.3         Minus: -4.7
mx18r	Plus: 29.24            Minus: -12.76
l105m	Plus: 19.6              Minus: -22.4
z4bl	Plus: 35.1              Minus: -6.9
z4br	Plus: 42.0              Minus: 0.0
z4brr	Plus: 40.93              Minus: -1.07
q-124l	Plus: 29.24            Minus: -12.76
q-124n	Plus: 29.24            Minus: -12.76
q-124rl	Plus: 29.24            Minus: -12.76
z6r	Plus: 41.42              Minus: -0.58
z111	Plus: 21.43              Minus: -20.57
z112	Plus: 31.28              Minus: -10.72
rr100n	Plus: 38.54              Minus: -3.46
rr100r	 Plus: 29.24            Minus: -12.76
